"","Ring_Oval","Wealth_Pop_Avg","Wealth_Pop_Tot","Wealth_Area_Avg","Wealth_Area_Tot","Wealth_Area_HH_Avg","Wealth_Area_HH_Tot","Wealth_Area_Pers_Avg","Wealth_Area_Pers_Tot","PropVal_DStr_InvDist_Avg","PropVal_DStr_InvDist_Tot","PropVal_HH_InvDist_Avg","PropVal_HH_InvDist_Tot","PropVal_Pers_InvDist_Avg","PropVal_Pers_InvDist_Tot","PropVal_DStr_InvDistClass_Avg","PropVal_DStr_InvDistClass_Tot","PropVal_HH_InvDistClass_Avg","PropVal_HH_InvDistClass_Tot","PropVal_Pers_InvDistClass_Avg","PropVal_Pers_InvDistClass_Tot","InvDist"
"1",1,1182.253996813,468172.582737947,102585.061932574,40623684.5252992,122158.520229463,48374774.0108674,16335.7703953713,6468965.07656702,5.16372722954306,2044.83598289905,6.09272157072118,2412.71774200559,0.810621525048454,321.006123919188,547.94416471946,216985.889228906,826.318891083553,327222.280869087,111.103800820901,43997.1051250768,0.004
"2",2,2341.99828689699,1381778.98926923,101900.606704561,60121357.955691,25784.047693731,15212588.1393013,3107.66295624594,1833521.14418511,2.52551927018611,1490.05636940981,0.516055342016894,304.472651789967,0.0583073344416759,34.4013273205888,140.216139715605,82727.5224322068,36.7993676817621,21711.6269322396,4.46306361765,2633.2075344135,0.00133333333333333
"3",3,2280.18536517832,1694177.72632749,78002.2915162884,57955702.5966023,12451.9881640731,9251827.20590628,1332.66405975438,990169.396397506,1.41367816001321,1050.36287288982,0.219911241622235,163.394052525321,0.0235476155052677,17.4958783204139,63.1699465216623,46935.2702655951,10.1556673369315,7545.6608313401,1.08915957803201,809.245566477781,8e-04
"4",4,2063.12685178859,1021247.79163535,70667.1773326858,34980252.7796795,12775.0541905991,6323651.82434657,1378.59752086983,682405.772830565,0.938378663596146,464.497438480092,0.165957722992398,82.1490728812369,0.018101626810756,8.96030527132424,41.775423252237,20678.8345098573,7.60632700855043,3765.13186923246,0.82199689074916,406.888460920834,0.000571428571428571
"5",5,1540.18332532102,552925.813790245,51274.3243554852,18407482.4436192,9248.44281257879,3320190.96971578,982.868906871464,352849.937566855,0.532309176734069,191.098994447531,0.0973953846738184,34.9649430979008,0.0107658113813534,3.86492628590586,23.1092489441906,8296.22037096444,4.14210799769191,1487.01677117139,0.440589026781447,158.171460614539,0.000444444444444444
"6",6,996.612429188574,385689.010095978,33480.6432133988,12957008.9235854,8218.88009816654,3180706.59799045,878.027488974928,339796.638233297,0.284072821971154,109.936182102837,0.0732267019273083,28.3387336458683,0.00825360661062644,3.19414575831243,12.3584873750528,4782.73461414542,3.03901833149981,1176.10009429042,0.324675072323276,125.649252989108,0.000363636363636364
"7",7,1062.11533630273,178435.376498859,34997.8628126562,5879640.95252625,7635.60812040168,1282782.16422748,802.221170083483,134773.156574025,0.25266795821452,42.4482169800393,0.0602147609442631,10.1160798386362,0.0067906118441147,1.14082278981127,10.8079542954084,1815.7363216286,2.37382379321349,398.802397259867,0.249403553882928,41.899797052332,0.000307692307692308
"8",8,667.704144977036,70108.9352225888,21561.1058674689,2263916.11608423,4474.09699125549,469780.184081827,483.141131499022,50729.8188073973,0.139331377966857,14.6297946865199,0.0345808866142873,3.63099309450017,0.0042976596638148,0.451254264700554,5.77298007809005,606.162908199455,1.18236102489782,124.147907614271,0.127774227636217,13.4162939018028,0.000266666666666667
"9",9,641.697211289334,15400.733070944,20809.9614756049,499439.075414518,5608.2945666721,134599.06960013,600.116210156944,14402.7890437667,0.123148759261269,2.95557022227045,0.0381128402278741,0.914708165468978,0.00459360893530765,0.110246614447384,5.09478461583825,122.274830780118,1.36814328862466,32.8354389269919,0.146379784730224,3.51311483352538,0.000235294117647059
