"","Ring","MinRingDist","MedRingDist","MaxRingDist","Ring_Area","Pop_TOT","Popdens_TOT","DStr_TOT","Area_DStr","Avg_Area_DStr","NonCC_Feat_TOT","NonCC_Feat_Area","NonCCDStr_TOT","NonCCDStr_Area","OB","OB_Area","Unoccu","Unoccu_Area","DomPlat","DomPlat_Area","Unk","Unk_Area","CCStr","CCStrArea","AoD","AoD_Area","Plazas","Plaza_Area","PlazAoD_O","PlazAoD_O_Area","CCFeat_AoD_Area","CCFeat_O_Area","UnOccuFeat","UnOccuFeat_Area","Popdens_DStrArea","Area_NonDStr","Area_NonCCZone","Popdens_NonCCZone","Area_NonCCZone_AoD","Popdens_NonCCZone_AoD","Area_NonCCZone_O","Popdens_NonCCZone_O","Area_Open","Area_OpenUnoccu","Area_RuralOpen","Area_UrbanOpen","Area_ArchFeat","Popdens_ArchFeat","Area_BuiltUp","Popdens_BuiltUp","PctRow_Area_DStr","PctRow_Area_NonDStr","PctRow_Area_CCFeat_AoD","PctRow_Area_CCFeat_O","PctRow_Area_CCStr","PctRow_Area_Open","PctRow_Area_OpenUnoccu","PctRow_Area_RuralOpen","PctRow_Area_UrbanOpen","PctRow_Area_ArchFeat","PctRow_Area_BuiltUp","PctRow_Area_NonCCZone","PctRow_Area_NonCCZone_AoD","PctRow_Area_NonCCZone_O","PctRow_Area_UnOccuFeat","PctRow_Area_Unk","PctRow_Area_OB","PctRow_Area_AoD","PctRow_Area_Plazas","PctRow_Area_DomPlat","PctCol_Area_DStr","PctCol_Area_NonDStr","PctCol_Area_CCFeat_AoD","PctCol_Area_CCFeat_O","PctCol_Area_CCStr","PctCol_Area_Open","PctCol_Area_OpenFields","PctCol_Area_RuralOpen","PctCol_Area_UrbanOpen","PctCol_Area_ArchFeat","PctCol_Area_BuiltUp","PctCol_Area_NonCCZone","PctCol_Area_NonCCZone_AoD","PctCol_Area_NonCCZone_O","PctCol_Area_UnOccuFeat","PctCol_Area_Unk","PctCol_Area_OB","PctCol_Area_AoD","PctCol_Area_Plazas","PctCol_Area_DomPlat","Elite_DStr","Elite_Pop","Elite_DStrArea","Avg_Elite_DStrArea","Med_Elite_DStrArea","Avg_Elite_DStrPop","PctRow_DStr_Elite","PctRow_Pop_Elite","PctRow_DStrArea_Elite","PctCol_DStr_Elite","PctCol_Pop_Elite","PctCol_DStrArea_Elite","Elite_Popdens_NonCCZone","Elite_Popdens_NonCCZone_AoD","Elite_Popdens_NonCCZone_O","Elite_Popdens_EliteDStrArea","Elite_Popdens_TOTArea","IM_DStr","IM_Pop","IM_DStrArea","Avg_IM_DStrArea","Med_IM_DStrArea","Avg_IM_DStrPop","PctRow_DStr_IM","PctRow_Pop_IM","PctRow_DStrArea_IM","PctCol_DStr_IM","PctCol_Pop_IM","PctCol_DStrArea_IM","IM_Popdens_NonCCZone","IM_Popdens_NonCCZone_AoD","IM_Popdens_NonCCZone_O","IM_Popdens_IMDStrArea","IM_Popdens_TOTArea","Low_DStr","Low_Pop","Low_DStrArea","Avg_Low_DStrArea","Med_Low_DStrArea","Avg_Low_DStrPop","PctRow_Ring_DStr_Low","PctRow_Ring_Pop_Low","PctRow_Ring_DStrArea_Low","PctCol_Tot_LowDStr","PctCol_Tot_LowPop","PctCol_Tot_LowDStrArea","Low_Popdens_NonCCZone","Low_Popdens_NonCCZone_AoD","Low_Popdens_NonCCZone_O","Low_Popdens_TOTArea","Low_Popdens_OpenArea","Low_Popdens_LowDStrArea","UncerStat_DStr","UncerStat_Pop","UncerStat_Area","Avg_UncerStat_DStrArea","Med_UncerStat_DStrArea","Avg_UncerStat_DStrPop","PctRow_DStr_UncerStat","PctRow_Pop_UncerStat","PctRow_DStrArea_UncerStat","PctCol_DStr_UncerStat","PctCol_Pop_UncerStat","PctCol_DStrArea_UncerStat","UncerStat_Popdens_NonCCZone","UncerStat_Popdens_NonCCZone_AoD","UncerStat_Popdens_NonCCZone_O","UncerStat_Popdens_TOTArea","UncetStat_Popdens_OpenArea","UncerStat_Popdens_UncerStatDStrArea"
"1",1,0,250,500,148.724,6859.52245008734,46.1224983868598,396,44.6754435,0.112816776515152,403,45.5954983,7,0.9200548,0,0,1,0.1039975,6,0.8160573,0,0,321,28.4970439,8,6.106629,35,16.3118859,43,22.4185149,34.6036729,50.9155588,7,9.200548e-05,153.541227857925,104.0485565,120.2269561,57.0547793323642,114.1203271,60.1078057205055,97.8084412,70.1322131906887,52.8913367126903,52.9953342126903,0,52.8913367126903,95.8326632873097,71.5781260249677,148.724,46.1224983868598,0.300391621392647,0.699608378607353,0.232670402221565,0.342349310131519,0.19161025725505,0.35563417278106,0.356333437862687,0,0.35563417278106,0.64436582721894,1,0.80838974274495,0.767329597778435,0.657650689868481,6.18632365993384e-07,0,0,0.0410601449665152,0.109678907909954,0.00548705857830612,0.0978724867486268,0.0350721153005453,0.488018386614861,0.434618366846234,0.474341322443227,0.018674007752501,0.0186501159930241,0,0.0285111417328448,0.162203242572415,0.0608046946081403,0.0357489355435666,0.0340427776472015,0.0295849607535974,0.0526343050492777,0,0,0.563893083254319,0.353236854156942,0.10288702273844,236,1507.34186421007,21.422902,0.0907750084745763,0.05727925,6.38704179750029,0.595959595959596,0.219744431945241,0.479522984478039,0.816608996539792,0.598764104763129,0.598764104763129,12.5374700741514,13.2083556235274,15.4111633486504,70.3612360365589,10.1351622079158,149,5290.49626148628,23.1852424,0.155605653691275,0.1249766,35.5066863186999,0.376262626262626,0.771263058030944,0.518970615255336,0.0767645543534261,0.0616360542699866,0.0616360542699866,44.00424358316,46.358930051527,54.0903852119287,228.1837804502,35.5725791498768,10,55,0.0380055,0.00380055,0.002681,5.5,0.0252525252525253,0.00801805087747758,0.000850702243168554,0.0121065375302663,0.0121065375302663,0.00892325640267214,0.457468123490153,0.481947444400551,0.562323653513047,0.36981253866222,1.03986783882518,1447.15896383418,1,6.68432439099599,0.0292936,0.0292936,0.0292936,6.68432439099599,0.00252525252525253,0.00097445914633764,0.000655698023456667,0.004739336492891,0.000727529538316177,0.000727529538316176,0.0555975515626981,0.0585726010506326,0.0683409765965679,0.0449444904050186,0.126378435608571,228.1837804502
"2",2,500,750,1000,305.904,23579.1100909928,77.0800973213584,590,110.475905,0.18724729661017,602,114.723864,12,4.247959,0,0,9,0.1432466,2,4.087885,1,0.0168274,61,14.1980379,1,3.8185418,21,14.7539844,22,18.5725262,18.0165797,32.8357853,12,0.0004247959,213.432151481292,195.428095,291.7059621,80.8317729306803,287.8874203,81.9039264252035,273.0682147,86.3487906012696,160.979733117047,161.122979717047,0,160.979733117047,144.924266882953,162.699529886435,305.904,77.0800973213584,0.361145669883362,0.638854330116638,0.0588961886735708,0.107340163253831,0.0464133777263455,0.526242654940918,0.526710927993902,0,0.526242654940918,0.473757345059082,1,0.953586622273655,0.941103811326429,0.892659836746169,1.38865755269627e-06,5.50087609184581e-05,0,0.0124828109472253,0.0482307665149851,0.0133632937130603,0.242024492675827,0.0658738276758882,0.254089274942605,0.280288299245762,0.236330339989582,0.0568360902004203,0.0567023928711258,0,0.0867763280770785,0.245294090860959,0.125066561546277,0.0867374337258714,0.0858785431635812,0.0825972923792432,0.243016361463279,0.0804973139497615,0,0.352608502847888,0.319500213996506,0.515393118776253,42,844.113651893225,11.9968565,0.28563944047619,0.2614762,20.0979440926958,0.0711864406779661,0.0357992158582641,0.108592516169023,0.145328719723183,0.335308775729555,0.335308775729555,2.89371408735161,2.93209634173524,3.0912189938349,70.3612360365588,2.75940704238331,424,19994.7859666975,87.6257985,0.206664619103774,0.19160645,47.1575140723998,0.71864406779661,0.84798730272418,0.793166604971464,0.218444100978877,0.232945956683071,0.232945956683071,68.5443171019009,69.453489651828,73.2226780354656,228.1837804502,65.362943821256,58,319,0.2424587,0.0041803224137931,0.0035868,5.5,0.0983050847457627,0.013528924491593,0.00219467493839494,0.0702179176755448,0.0702179176755448,0.0569265276646423,1.09356695250076,1.10807203617156,1.16820626798495,1.0428108164653,1.98161590793581,1315.68799139812,66,2421.2104724021,10.6107913,0.160769565151515,0.12214435,36.6850071576075,0.111864406779661,0.102684556925963,0.0960462039211175,0.312796208530806,0.263527326639891,0.263527326639891,8.30017478892694,8.41026839546867,8.86668730398411,7.91493564125378,15.0404676757767,228.1837804502
"3",3,1000,1250,1500,457.72,30170.346304231,65.9144155908219,743,129.9633607,0.174917039973082,798,133.5972932,55,3.6339325,6,0.0409904,48,0.5652981,1,3.027644,0,0,39,3.0333953,1,0.9042385,10,6.4044813,11,7.3087198,3.9376338,10.3421151,55,0.00036339325,232.145014885191,327.7566393,454.6866047,66.3541568904086,453.7823662,66.4863788271,447.3778849,67.4381710016239,310.998742833751,311.564040933751,12.6206458009893,298.378097032762,146.721257166249,205.63036936117,445.099354199011,67.7833971665153,0.283936381849165,0.716063618150835,0.00860271301232194,0.0225948507821376,0.00662718539718605,0.679451941872217,0.680686972240127,0.0275728519640596,0.651879089908157,0.320548058127783,0.97242714803594,0.993372814602814,0.991397286987678,0.977405149217862,7.93920409857555e-07,0,8.95534387835358e-05,0.00197552761513589,0.0139921377698156,0.0066146202918815,0.284716531083071,0.110478405762879,0.0555327667010789,0.0882809357382086,0.0504917191812681,0.10980234752324,0.109645605391395,0.0129145890961042,0.160841089358145,0.24833561804828,0.181975540614503,0.135198982418082,0.135365999952234,0.135322238085049,0.207889260219592,0,0.303901151165437,0.0834984138977922,0.138690206686583,0.381719858485307,5,89.9416492818802,1.2782841,0.25565682,0.274986,17.988329856376,0.00672947510094213,0.00298112750761721,0.0098357267241705,0.0173010380622837,0.0357276822145498,0.0357276822145497,0.197810202350745,0.198204372803326,0.201041786636334,70.3612360365589,0.196499277466312,542,27222.3623385754,119.3001636,0.22011100295203,0.1950258,50.2257607722793,0.729475100942127,0.902288693144958,0.917952282531272,0.279237506439979,0.317149643346747,0.317149643346747,59.8706055053823,59.9899078638446,60.8486991811414,228.1837804502,59.4738319028563,160,880,0.7162762,0.00447672625,0.0043022,5.5,0.215343203230148,0.0291677129299835,0.00551137025190824,0.193704600484261,0.193704600484261,0.168173453519403,1.93539899989053,1.93925561138299,1.96701721229851,1.92257275190073,2.82959343173428,1228.5763508546,36,1978.04231637373,8.6686368,0.240795466666667,0.22858945,54.9456198992702,0.0484522207267833,0.0655624664174416,0.0667006204926494,0.170616113744076,0.215292395913599,0.215292395913599,4.35034218278506,4.35901097906904,4.42141282154765,4.32151165859855,6.3602903932995,228.1837804502
"4",4,1500,1750,2000,526.242,18229.7072773463,34.6413005372932,495,78.7339558,0.159058496565657,595,80.295102,100,1.5611462,3,0.0309233,94,1.4823899,0,0,3,0.047833,34,3.7686264,0,0,6,1.2311624,6,1.2311624,3.7686264,4.9997888,100,0.00015611462,231.53551846999,447.5080442,522.4733736,34.8911699590317,522.4733736,34.8911699590317,521.2422112,34.9735821191034,440.947496772133,442.429886672133,88.4665313829504,352.480965389182,85.2945032278672,213.726636388807,437.77546861705,41.6416829726313,0.149615492111994,0.850384507888006,0.00716139418746508,0.00950093075049122,0.00716139418746508,0.837917719931387,0.840734655675778,0.168109978646612,0.669807741284775,0.162082280068613,0.831890021353388,0.992838605812535,0.992838605812535,0.990499069249509,2.96659369643624e-07,9.08954435411845e-05,5.87625085036922e-05,0,0.00233953656302614,0,0.172485988767016,0.150843550857949,0.0531492417234753,0.0426785071998875,0.0627298479324186,0.155682527327638,0.155699908827821,0.0905269761614613,0.19000530875087,0.144366696307765,0.178981224793545,0.15535506813065,0.15585693921524,0.157664616389678,0.0893097295045042,0.228818951124888,0.229264083000756,0,0.026661045558951,0,4,55.8182017989264,0.793309,0.19832725,0.2207461,13.9545504497316,0.00808080808080808,0.00306193626423671,0.0100758178849182,0.013840830449827,0.0221727641374419,0.0221727641374419,0.106834538599206,0.106834538599206,0.107086879380744,70.3612360365588,0.106069454355461,338,15062.7921634289,66.0116689,0.19530079556213,0.1645173,44.5644738562986,0.682828282828283,0.826277237163714,0.838414229658203,0.174137042761463,0.175486576184029,0.175486576184029,28.8297795151583,28.8297795151583,28.8978748070911,228.1837804502,28.6233180997125,106,583,0.849764,0.00801664150943396,0.004713,5.5,0.214141414141414,0.0319807658526961,0.0107928528595536,0.128329297820823,0.128329297820823,0.1995148611059,1.11584633678642,1.11584633678642,1.11848194078108,1.10785532131605,1.32215287368164,686.072839047077,47,2528.09691211841,11.0792139,0.235727955319149,0.2187169,53.7892960025193,0.094949494949495,0.138680060719353,0.140717099597325,0.222748815165877,0.275160969412198,0.275160969412198,4.83870956848778,4.83870956848778,4.85013849185054,4.80405766190918,5.73332864031394,228.1837804502
"5",5,2000,2250,2500,484.097,10292.9921587309,21.2622514882986,359,42.4090332,0.118131011699164,433,44.7115979,74,2.3025647,1,0.0238028,72,2.1343793,0,0,1,0.1443826,21,1.4206104,0,0,0,0,0,0,1.4206104,1.4206104,74,0.00023025647,242.707540871998,441.6879668,482.6763896,21.3248304257452,482.6763896,21.3248304257452,482.6763896,21.3248304257452,436.824144139765,438.958523439765,139.379372968762,297.444771171003,47.2728558602349,217.735780321011,344.717627031238,29.8591988096917,0.0876044123388495,0.91239558766115,0.00293455733045237,0.00293455733045237,0.00293455733045237,0.902348380881859,0.906757371848545,0.287916208877067,0.614432172004791,0.0976516191181415,0.712083791122933,0.997065442669548,0.997065442669548,0.997065442669548,4.75641183481823e-07,0.000298251383503719,4.91694846280807e-05,0,0,0,0.0929073606149892,0.148881751170407,0.0200349829169808,0.0121264184568426,0.0236464602496051,0.154226721446962,0.154478266811606,0.14262561193367,0.16033797887576,0.0800124951468804,0.140935222544292,0.14352161694803,0.143985260332353,0.145999280509995,0.131724645983586,0.69068373492535,0.176472986869137,0,0,0,1,4.62869280429421,0.0657847,0.0657847,0.0657847,4.62869280429421,0.00278551532033426,0.000449693610265502,0.00155119546559246,0.00346020761245675,0.00183866392156445,0.00183866392156446,0.00958963998245298,0.00958963998245298,0.00958963998245298,70.3612360365588,0.00956149863414607,192,8550.28486524823,37.4710457,0.195161696354167,0.1498721,44.5327336731679,0.534818941504178,0.830689923143053,0.883562837268358,0.0989180834621329,0.0996136838456496,0.0996136838456496,17.7143217474009,17.7143217474009,17.7143217474009,228.1837804502,17.6623380546631,142,781,0.6778705,0.00477373591549296,0.00379615,5.5,0.395543175487465,0.0758768672856246,0.0159841064238173,0.171912832929782,0.171912832929782,0.159156234737277,1.61806132810272,1.61806132810272,1.61806132810272,1.61331303437121,1.78790483648292,1152.13746578439,24,957.078600678384,4.1943323,0.174763845833333,0.12715435,39.878275028266,0.0668523676880223,0.0929835159610564,0.0989018608422321,0.113744075829384,0.104169533337098,0.104169533337098,1.9828577102591,1.9828577102591,1.9828577102591,1.97703890063021,2.19099290531011,228.1837804502
"6",6,2500,2750,3000,512.969,7556.56888817927,14.7310439581715,387,29.7943374,0.0769879519379845,503,32.2441358,116,2.4497984,1,0.0027048,115,2.4470936,0,0,0,0,25,3.7034989,0,0,2,6.7329653,2,6.7329653,3.7034989,10.4364642,116,0.00024497984,253.624330916628,483.1746626,509.2655011,14.8381715860534,509.2655011,14.8381715860534,502.5325358,15.0369744242523,471.374923005601,473.822016605601,182.460369803643,288.914553201957,41.5940769943994,181.674157337275,330.508630196357,22.8634540758887,0.0580821402462917,0.941917859753708,0.00721973238148894,0.0203452142332188,0.00721973238148894,0.918915028014559,0.923685479250404,0.355694729708118,0.563220298306442,0.0810849719854405,0.644305270291882,0.992780267618511,0.992780267618511,0.979654785766781,4.77572406909579e-07,0,5.27283325113213e-06,0,0.0131254818517298,0,0.0652717838685947,0.162865858470696,0.0522307433442394,0.0890863055057581,0.0616457823505348,0.166425345125172,0.166747425995607,0.186709994044247,0.155739754125861,0.0704007791171518,0.135125980503781,0.151427767648407,0.151916951676333,0.152005339893392,0.140147561096179,0,0.020053276710456,0,0.145803587414736,0,1,15.5778298998984,0.2213979,0.2213979,0.2213979,15.5778298998984,0.00258397932816537,0.00206149512171679,0.00743087174679038,0.00346020761245675,0.00618800923376004,0.00618800923376006,0.0305888183398457,0.0305888183398457,0.0309986494209763,70.3612360365586,0.0303679752575661,181,5676.71597533148,24.8778242,0.137446542541436,0.1154352,31.3630716869143,0.467700258397933,0.751229302522678,0.834984979394105,0.0932509015971149,0.0661356433569306,0.0661356433569306,11.1468692913027,11.1468692913027,11.2962158087824,228.1837804502,11.0663918781281,181,995.5,0.8877672,0.00490479116022099,0.0049951,5.5,0.467700258397933,0.131739684337062,0.0297965075739526,0.219128329297821,0.219128329297821,0.208437577494897,1.95477604088584,1.95477604088584,1.98096626403548,1.94066308100489,2.11190700101832,1121.35253476362,24,868.775082947888,3.8073481,0.158639504166667,0.1336558,36.1989617894953,0.062015503875969,0.114969518018543,0.127787641285152,0.113744075829384,0.0945584771213498,0.0945584771213498,1.705937435525,1.705937435525,1.72879370201345,1.69362102378095,1.84306597688389,228.1837804502
"7",7,3000,3250,3500,489.541,3484.6852075239,7.11827039517405,168,13.7430639,0.0818039517857143,301,15.2044881,133,1.4614242,1,0.0058498,132,1.4555744,0,0,0,0,15,2.4505621,0,0,0,0,0,0,2.4505621,2.4505621,133,0.00014614242,253.559557961736,475.7979361,487.0904379,7.15408256123334,487.0904379,7.15408256123334,487.0904379,7.15408256123334,471.668923083764,473.124497483764,243.633595082276,228.035328001488,17.8720769162358,194.979309000078,245.907404917724,14.1707209211118,0.0280733664800293,0.971926633519971,0.00500583628337565,0.00500583628337565,0.00500583628337565,0.963492175494523,0.966465520730162,0.497677610419304,0.465814565075219,0.0365078245054772,0.502322389580696,0.994994163716624,0.994994163716624,0.994994163716624,2.98529479655432e-07,0,1.19495609152247e-05,0,0,0,0.0301075430720297,0.160379352063963,0.0345604747160099,0.0209181500283815,0.0407902964013489,0.166529145862307,0.166501955092878,0.249307984718783,0.122922731033686,0.0302496949148332,0.100537402557102,0.144834114022577,0.145301997399442,0.147334435677767,0.0836048539165239,0,0.0433701782389919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2664.90479432624,11.6787652,0.147832470886076,0.1352104,33.732972080079,0.470238095238095,0.764747641644174,0.84979341469845,0.0407006697578568,0.0310470338526041,0.0310470338526041,5.47106776683091,5.47106776683091,5.47106776683091,228.1837804502,5.4436804972949,80,440,0.3999367,0.00499920875,0.0052321,5.5,0.476190476190476,0.126266785605191,0.0291009852613725,0.0968523002421307,0.0968523002421307,0.0939005596279109,0.903323008961084,0.903323008961084,0.903323008961084,0.898801121867218,0.932857728093016,1100.17410255173,9,379.780413197657,1.664362,0.184929111111111,0.1965979,42.1978236886285,0.0535714285714286,0.108985572750635,0.121105600040177,0.042654028436019,0.0413357360464739,0.0413357360464739,0.779691785441343,0.779691785441343,0.779691785441343,0.775788776011931,0.80518430324953,228.183780450201
"8",8,3500,3750,4000,366.855,1570.56787665742,4.28116797278875,105,5.4630071,0.052028639047619,163,6.2236613,58,0.7606542,5,0.0306096,53,0.7300446,0,0,0,0,7,1.5156448,0,0,0,0,0,0,1.5156448,1.5156448,58,7.606542e-05,287.491458075794,361.3919929,365.3393552,4.29892880223,365.3393552,4.29892880223,365.3393552,4.29892880223,359.115714276351,359.845758876351,220.43871854109,138.676995735261,7.73928572364923,202.93447389572,146.41628145891,10.726729712079,0.0148914614766052,0.985108538523395,0.00413145466192365,0.00413145466192365,0.00413145466192365,0.978903692947761,0.980893701534259,0.600887867252974,0.378015825694786,0.0210963070522393,0.399112132747026,0.995868545338076,0.995868545338076,0.995868545338076,2.07344645704706e-07,0,8.34378705483093e-05,0,0,0,0.0119680533222329,0.121816025806015,0.0213752607162462,0.012937637987683,0.0252283346058291,0.12679070050488,0.126636905726592,0.225572883965,0.0747540093753101,0.0130992627827399,0.0598612011495693,0.108631986405027,0.108982919615603,0.110507338147176,0.0435153484333915,0,0.226938324015222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1139.03930681468,4.9917628,0.172129751724138,0.0845774,39.2772174763682,0.276190476190476,0.725240420196836,0.913739028455592,0.014940752189593,0.0132701896118067,0.0132701896118067,3.11775693092557,3.11775693092557,3.11775693092557,228.1837804502,3.10487605951855,74,407,0.3637495,0.00491553378378378,0.0040331,5.5,0.704761904761905,0.259141935887676,0.0665841162827703,0.0895883777239709,0.0895883777239709,0.0854042192536288,1.11403273205317,1.11403273205317,1.11403273205317,1.10943015632879,1.13333943300181,1118.90188165207,2,24.5285698427382,0.1074948,0.0537474,0.0537474,12.2642849213691,0.019047619047619,0.0156176439154871,0.0196768552616379,0.00947867298578199,0.00266971769312716,0.00266971769312716,0.0671391392512596,0.0671391392512596,0.0671391392512596,0.0668617569414024,0.0683026914936467,228.1837804502
"9",9,4000,4250,4500,131.117,339.064320690718,2.5859676524838,24,1.2076989,0.0503207875,42,1.3503007,18,0.1426018,0,0,18,0.1426018,0,0,0,0,8,1.4896652,0,0,3,0.7438447,3,0.7438447,1.4896652,2.2335099,18,1.426018e-05,280.752363598839,129.9093011,129.6273348,2.61568535073143,129.6273348,2.61568535073143,128.8834901,2.63078164959407,127.549567342481,127.692169142481,90.2402052497057,37.309362092775,3.5674326575193,95.0443507254583,40.8767947502943,8.29478736681715,0.0092108490889816,0.990789150911018,0.0113613429227331,0.0170344798920049,0.0113613429227331,0.972791989921068,0.973879581919055,0.688241839347344,0.284550150573724,0.0272080100789318,0.311758160652656,0.988638657077267,0.988638657077267,0.982965520107995,1.08759199798653e-07,0,0,0,0.00567313696927172,0,0.00264575984761251,0.043789112891657,0.0210088683245039,0.0190653789912426,0.0247958968461867,0.0450331142568788,0.0449374232899515,0.0923419600807348,0.0201116586704437,0.00603812024897553,0.0167121716827901,0.0385440951577874,0.0386686109980117,0.0389844981641029,0.00815793433366805,0,0,0,0.016108092186282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,233.059292013568,1.0213666,0.145909514285714,0.1262644,33.2941845733668,0.291666666666667,0.687360119574939,0.845712950471347,0.00360638845955693,0.00271521884917415,0.00271521884917415,1.79791779544917,1.79791779544917,1.80829438924053,228.1837804502,1.77749103482819,15,82.5,0.0833231,0.00555487333333333,0.0054207,5.5,0.625,0.243316665793489,0.0689932730749361,0.0181598062953995,0.0181598062953995,0.0195633101936691,0.636439838304845,0.636439838304845,0.640113019409924,0.629209027052175,0.646807368452148,990.121586930875,2,23.5050286771507,0.1030092,0.0515046,0.0515046,11.7525143385754,0.0833333333333333,0.0693232146315717,0.0852937764537171,0.00947867298578199,0.00255831429794626,0.00255831429794626,0.181327716977413,0.181327716977413,0.18237424094361,0.179267590603436,0.184281524170426,228.1837804502
