"","Ring_Oval","AreaPerPerson_Avg","AreaPerPerson_Tot","Wealth_Pop_Avg","Wealth_Pop_Tot","Wealth_Pop_perArea_Avg","Wealth_Pop_perArea_Tot","Wealth_Pop_div_Avg","Wealth_Pop_div_Tot","Wealth_Area_Avg","Wealth_Area_Tot","Wealth_Area_HH_Avg","Wealth_Area_HH_Tot","Wealth_Area_Pers_Avg","Wealth_Area_Pers_Tot","PropVal_DStr_InvDist_Avg","PropVal_DStr_InvDist_Tot","PropVal_HH_InvDist_Avg","PropVal_HH_InvDist_Tot","PropVal_Pers_InvDist_Avg","PropVal_Pers_InvDist_Tot","PropVal_DStr_InvDistClass_Avg","PropVal_DStr_InvDistClass_Tot","PropVal_HH_InvDistClass_Avg","PropVal_HH_InvDistClass_Tot","PropVal_Pers_InvDistClass_Avg","PropVal_Pers_InvDistClass_Tot","PropVal_DStr_Acc_Avg","PropVal_DStr_Acc_Tot","PropVal_HH_Acc_Avg","PropVal_HH_Acc_Tot","PropVal_Pers_Acc_Avg","PropVal_Pers_Acc_Tot","PropVal_DStr_AccClass_Avg","PropVal_DStr_AccClass_Tot","PropVal_HH_AccClass_Avg","PropVal_HH_AccClass_Tot","PropVal_Pers_AccClass_Avg","PropVal_Pers_AccClass_Tot","InvDist"
"1",1,101.502826717172,40195.11938,1128.32290401441,446815.869989706,1.01037233918429,400.10744631698,32.6654691211504,12935.5257719756,102585.061932574,40623684.5252992,122158.520212854,48374774.00429,12766.7658379562,5055639.27183065,5.16372722954306,2044.83598289905,6.09272157003413,2412.71774173352,0.641097714738949,253.874695036624,547.94416471946,216985.889228906,826.318890985548,327222.280830277,85.7505389137601,33957.213409849,549.099181363585,217443.27581998,826.318890985548,327222.280830277,85.7505389137601,33957.213409849,52729.7416126241,20880977.6785991,826.318890985548,327222.280830277,85.7505389137601,33957.213409849,0.004
"2",2,47.302924820339,27908.725644,1872.70378039922,1104895.23043554,1.0290627092223,607.146998441158,2.48258651712942,1464.72604510636,101900.606704561,60121357.955691,25784.047694646,15212588.1398412,3038.95429396586,1792983.03343986,2.52551927018611,1490.05636940981,0.51605534202389,304.472651794095,0.0653006740028223,38.5273976616651,140.216139715605,82727.5224322068,36.7993676831277,21711.6269330453,4.30894551641946,2542.27785468748,523.24809008073,308716.37314763,36.7993676831277,21711.6269330453,4.30894551641946,2542.27785468748,29043.6349838629,17135744.6404791,36.7993676831277,21711.6269330453,4.30894551641946,2542.27785468748,0.00133333333333333
"3",3,36.7772898250336,27325.52634,1749.03795093947,1299535.19754802,1.0262816453019,762.527262459309,1.61177443041619,1197.54840179923,78002.2915162884,57955702.5966023,12451.9881641202,9251827.20594132,1644.06553233157,1221540.69052236,1.41367816001321,1050.36287288982,0.219911241621549,163.394052524811,0.0298175744155151,22.1544577907277,63.1699465216623,46935.2702655951,10.155667336967,7545.66083136651,1.33852777338022,994.526135621501,319.720103240992,237552.036708057,10.155667336967,7545.66083136651,1.33852777338022,994.526135621501,14507.2477612068,10778885.0865767,10.155667336967,7545.66083136651,1.33852777338022,994.526135621501,8e-04
"4",4,36.9531448646465,18291.806708,1582.87284685313,783522.059192301,0.988875717405222,489.493480115585,1.77691817054292,879.574494418743,70667.1773326858,34980252.7796795,12775.0541906859,6323651.82438952,1682.05998182356,832619.691002661,0.938378663596146,464.497438480092,0.16595772299375,82.1490728819063,0.0226604536889672,11.2169245760387,41.775423252237,20678.8345098573,7.60632700861542,3765.13186926463,0.999887215243611,494.944171545587,210.09337347973,103996.219872466,7.60632700861542,3765.13186926463,0.999887215243611,494.944171545587,9408.00813449567,4656964.02657535,7.60632700861542,3765.13186926463,0.999887215243611,494.944171545587,0.000571428571428571
"5",5,29.939072356546,10748.126976,1179.89223312698,423581.311692587,1.05556182501199,378.946695179304,1.80333119028922,647.395897313832,51274.3243554852,18407482.4436192,9248.44281240025,3320190.96965169,1239.37813292038,444936.749718417,0.532309176734069,191.098994447531,0.0973953846733897,34.9649430977469,0.0134994526075874,4.84630348612386,23.1092489441906,8296.22037096444,4.14210799760442,1487.01677113999,0.554710023513563,199.140898441369,107.736978300422,38677.5752098516,4.14210799760442,1487.01677113999,0.554710023513563,199.140898441369,4676.28201848897,1678785.24463754,4.14210799760442,1487.01677113999,0.554710023513563,199.140898441369,0.000444444444444444
"6",6,27.3362903307494,10579.144358,767.590093895395,297057.366337518,1.02309745183103,395.938713858609,2.13177922238261,824.99855906207,33480.6432133988,12957008.9235854,8218.88009813875,3180706.5979797,1103.0339159645,426874.125478261,0.284072821971154,109.936182102837,0.0732267019276583,28.3387336460037,0.0102452986554141,3.96493057964525,12.3584873750528,4782.73461414542,3.0390183314866,1176.10009428531,0.407767350720422,157.805964728803,56.2304130116682,21761.1698355156,3.0390183314866,1176.10009428531,0.407767350720422,157.805964728803,2466.71028339356,954616.879673306,3.0390183314866,1176.10009428531,0.407767350720422,157.805964728803,0.000363636363636364
"7",7,26.7783666666667,4498.7656,815.258921153534,136963.498753794,1.01482498499907,170.490597479844,2.18073678541828,366.363779950271,34997.8628126562,5879640.95252625,7635.60812070956,1282782.16427921,1040.76045180749,174847.755903659,0.25266795821452,42.4482169800393,0.0602147609464582,10.116079839005,0.00848278399173845,1.42510771061206,10.8079542954084,1815.7363216286,2.37382379330969,398.802397276029,0.323561847575479,54.3583903926804,33.805102434999,5679.25720907983,2.37382379330969,398.802397276029,0.323561847575479,54.3583903926804,1441.96215938028,242249.642775888,2.37382379330969,398.802397276029,0.323561847575479,54.3583903926804,0.000307692307692308
"8",8,18.5963090666667,1952.612452,516.760884708144,54259.8928943551,1.0491098105517,110.156530107929,1.86810771903505,196.15131049868,21561.1058674689,2263916.11608423,4474.09699135153,469780.18409191,617.590544844679,64847.0072086913,0.139331377966857,14.6297946865199,0.0345808866148306,3.63099309455721,0.00510752595942972,0.536290225740121,5.77298007809005,606.162908199455,1.18236102492163,124.147907616771,0.16326606733246,17.1429370699083,16.2669868323959,1708.03361740157,1.18236102492163,124.147907616771,0.16326606733246,17.1429370699083,662.288461494176,69540.2884568885,1.18236102492163,124.147907616771,0.16326606733246,17.1429370699083,0.000266666666666667
"9",9,21.45150625,514.83615,496.085494813861,11906.0518755327,0.960621092044811,23.0549062090755,1.8836620953696,45.2078902888703,20809.9614756049,499439.075414518,5608.29456683158,134599.069603958,770.888650470608,18501.3276112946,0.123148759261269,2.95557022227045,0.0381128402287778,0.914708165490668,0.00554439334627938,0.133065440310705,5.09478461583825,122.274830780118,1.36814328866427,32.8354389279424,0.188047265007661,4.51313436018386,26.2763189486265,630.631654767035,1.36814328866427,32.8354389279424,0.188047265007661,4.51313436018386,1116.61642349802,26798.7941639524,1.36814328866427,32.8354389279424,0.188047265007661,4.51313436018386,0.000235294117647059
